station_name
Old Pasadena
Pasadena Convention Center
Cordova & Lake
City Hall West
Fair Oaks & Mercantile Alley
Pasadena Central Library
Arroyo Parkway & Bellevue
Villa Parke
Los Robles & Cordova
Pasadena Museum
Rose Bowl
Fair Oaks & Peoria
Lake & Union
Madison & Walnut
Lake & Del Mar
Lake & California
Pasadena City College
Fillmore Station
Memorial Park Station
Lake & Locust
Del Mar Station
Colorado & Hill
Pasadena & Dayton
Oakland & Union
Lake & Merrett
Fair Oaks & Hammond
Caltech East
Madison & Colorado
Caltech West
Oak Knoll & Colorado
Catalina & Colorado
